sites	bacia	trofia	alt	ph	temp	chla	condut	doc	ic	tc	tn	chloride	nitrite 	nitrate 	phosphate 	sulfate 	lithium 	sodium 	ammonium 	potassium 	magnesium 	calcium 	din	fc
GE65	grande	eutrofico	555	6.80	24.70	20.930	37.00	3.468	5.420	8.888	0.182	1.245	0.000	0.000	0.000	0.104	0.000	2.722	0.124	1.438	2.341	5.851	0.124	0.798
GE75	grande	eutrofico	594	6.40	24.34	9.770	470.00	5.376	3.962	9.338	0.342	1.986	0.000	0.000	0.000	0.388	0.022	1.763	0.223	1.828	1.559	3.055	0.223	2.031
GE104	grande	eutrofico	513	7.05	17.68	12.000	52.00	4.748	3.685	8.433	0.240	0.349	0.000	0.000	0.000	0.042	0.023	2.952	0.233	0.638	0.000	2.211	0.233	1.210
GE151	grande	eutrofico	404	8.79	27.48	29.222	70.00	10.000	3.435	13.440	0.223	0.920	0.000	0.000	0.000	0.092	0.012	6.598	0.215	4.135	0.986	1.900	0.215	3.149
GM38	grande	mesotrofico	571	6.01	25.62	7.530	73.00	2.769	4.004	6.772	0.206	0.347	0.000	0.018	0.000	0.034	0.000	1.307	0.160	1.190	1.654	3.484	0.177	0.799
GM94	grande	mesotrofico	673	8.65	21.03	4.460	80.00	2.726	2.613	5.339	0.045	0.082	0.000	0.047	0.756	0.084	0.021	2.650	0.261	0.514	0.212	0.942	0.308	0.378
GM157	grande	mesotrofico	356	7.02	24.07	4.350	242.00	4.555	4.203	8.758	0.249	5.611	0.000	0.000	0.000	0.000	0.012	5.637	0.239	2.986	4.076	11.164	0.239	2.900
GM161	grande	mesotrofico	890	6.71	25.70	5.024	21.90	5.273	4.775	10.050	0.546	2.474	0.000	0.851	0.000	1.185	0.000	6.319	0.184	1.095	1.520	5.512	1.035	1.443
GO147	grande	oligotrofico	435	5.47	26.53	3.649	108.00	11.980	1.236	13.210	2.629	7.391	0.093	0.902	0.000	3.655	0.000	2.941	2.741	6.620	0.172	0.585	3.736	5.377
GO185	grande	oligotrofico	476	6.55	30.60	1.082	65.00	7.980	3.653	11.630	0.524	1.100	0.000	0.077	0.000	0.059	0.000	2.032	0.178	3.338	1.487	2.730	0.255	2.436
PE134	paranapanema	eutrofico	973	9.10	26.29	13.250	50.00	8.103	9.591	17.690	0.646	1.980	0.000	0.000	0.000	0.377	0.021	4.276	0.310	3.301	0.000	6.823	0.310	1.318
